,PRODUCT_NAME,PRODUCT_LINK,MRP,PRICE,DISCOUNT,DESCRIPTION,PRODUCT_RATING
0,Swiner XXXL 3XL Bean Bag with Footrest & Cushion Ready to Use with Beans (Green - 3XL) Bean Bag Chair  With Bean Filling  (Green),https://www.flipkart.com/swiner-xxxl-3xl-bean-bag-footrest-cushion-ready-use-beans-green-3xl-chair-filling/p/itm7492e5dbc1c53?pid=BEBGNGTNCP5GZBYZ&lid=LSTBEBGNGTNCP5GZBYZKMVV1B&marketplace=FLIPKART&q=bean+bag&store=wwe%2F4n6%2Fzet&srno=s_1_1&otracker=search&fm=organic&iid=en_RBsQMztijOQsiSH89ZG11kEHtO8qbBtF0Wwn7vgyf9ssZYgwVOc8IDts-LjXFHILHmx-ezNetteUg4a68kFxSQ%3D%3D&ppt=None&ppn=None&ssid=3rpetjspxs0000001689605282039&qH=0cda1ce14618a372,"4,999","2,499",50% off,Type: Bean Bag Chair| Material: Artificial Leather| Filling: Beans| Width x Height: 187.5 cm x 115 cm (6 ft 1 in x 3 ft 9 in),3.7
1,GIGLICK 4XL GIGLICK 4XL Bean Bag Cushion and Footrest Filled with Beans-Royal Blue Bean Bag Chair  With Bean Filling  (Blue),https://www.flipkart.com/giglick-4xl-bean-bag-cushion-footrest-filled-beans-royal-blue-chair-filling/p/itma5994cec31253?pid=BEBGREF8GE9XNHCZ&lid=LSTBEBGREF8GE9XNHCZNES6CU&marketplace=FLIPKART&q=bean+bag&store=wwe%2F4n6%2Fzet&srno=s_1_2&otracker=search&fm=organic&iid=en_RBsQMztijOQsiSH89ZG11kEHtO8qbBtF0Wwn7vgyf9tra0-3nSiHYnP5otvlOLZRvLOIk85Hxwk5aJfjJaucSQ%3D%3D&ppt=None&ppn=None&ssid=3rpetjspxs0000001689605282039&qH=0cda1ce14618a372,"4,999","2,999",40% off,Type: Bean Bag Chair| Material: Artificial Leather| Fastening Mechanism: Zipper with Velcro| Filling: EPP POLYSTRENE BEANS| Width x Height: 90 cm x 110 cm (2 ft 11 in x 3 ft 7 in),3.9
2,Swiner 4XL 4XL Bean Bag with Footrest & Cushion Ready to Use with Beans (Brown - 4XL) Bean Bag Chair  With Bean Filling  (Brown),https://www.flipkart.com/swiner-4xl-bean-bag-footrest-cushion-ready-use-beans-brown-4xl-chair-filling/p/itm09c75e9ca8d39?pid=BEBGNGTNY6PVTQ3C&lid=LSTBEBGNGTNY6PVTQ3C76UE2F&marketplace=FLIPKART&q=bean+bag&store=wwe%2F4n6%2Fzet&srno=s_1_3&otracker=search&fm=organic&iid=5267f2f2-c488-48c4-91b4-739a56a21a5a.BEBGNGTNY6PVTQ3C.SEARCH&ppt=None&ppn=None&ssid=3rpetjspxs0000001689605282039&qH=0cda1ce14618a372,"4,999","3,199",36% off,Type: Bean Bag Chair| Material: Artificial Leather| Filling: Beans| Width x Height: 212.5 cm x 125 cm (6 ft 11 in x 4 ft 1 in),3.7
3,STAR XXXL Black with Pink Piping Teardrop Bean Bag  With Bean Filling  (Black),https://www.flipkart.com/star-xxxl-black-pink-piping-teardrop-bean-bag-filling/p/itm4e529029a18c2?pid=BEBFPYG8VEC4APGT&lid=LSTBEBFPYG8VEC4APGTJLVLYV&marketplace=FLIPKART&q=bean+bag&store=wwe%2F4n6%2Fzet&srno=s_1_4&otracker=search&fm=organic&iid=5267f2f2-c488-48c4-91b4-739a56a21a5a.BEBFPYG8VEC4APGT.SEARCH&ppt=None&ppn=None&ssid=3rpetjspxs0000001689605282039&qH=0cda1ce14618a372,"4,299","1,999",53% off,Type: Teardrop Bean Bag| Material: Artificial Leather| Fastening Mechanism: Zipper with Velcro| Filling: Polystrene Beads| Width x Height: 73.66 cm x 111.76 cm (2 ft 4 in x 3 ft 7 in),4.1
4,"SPACEX XXXL Football Bean Bag with Puffy Bean Bag Sofa  With Bean Filling  (Yellow, Black)",https://www.flipkart.com/spacex-xxxl-football-bean-bag-puffy-sofa-filling/p/itmeb628c1390657?pid=BEBGGECGVHFAAQH4&lid=LSTBEBGGECGVHFAAQH4NU2FXK&marketplace=FLIPKART&q=bean+bag&store=wwe%2F4n6%2Fzet&srno=s_1_5&otracker=search&fm=organic&iid=5267f2f2-c488-48c4-91b4-739a56a21a5a.BEBGGECGVHFAAQH4.SEARCH&ppt=None&ppn=None&ssid=3rpetjspxs0000001689605282039&qH=0cda1ce14618a372,"3,499","2,213",36% off,Type: Bean Bag Sofa| Material: Artificial Leather| Fastening Mechanism: Zipper with Velcro| Filling: Polyestrene Beads| Width x Height: 100 cm x 101.5 cm (3 ft 3 in x 3 ft 3 in),4.4
5,Swiner 4XL 4XL Bean Bag with Footrest & Cushion Ready to Use with Beans (Navy Blue - 4XL) Bean Bag Chair  With Bean Filling  (Blue),https://www.flipkart.com/swiner-4xl-bean-bag-footrest-cushion-ready-use-beans-navy-blue-4xl-chair-filling/p/itm3e0ee40b324ea?pid=BEBGNGTNYXUH4AUZ&lid=LSTBEBGNGTNYXUH4AUZWKRBCJ&marketplace=FLIPKART&q=bean+bag&store=wwe%2F4n6%2Fzet&srno=s_1_6&otracker=search&fm=organic&iid=5267f2f2-c488-48c4-91b4-739a56a21a5a.BEBGNGTNYXUH4AUZ.SEARCH&ppt=None&ppn=None&ssid=3rpetjspxs0000001689605282039&qH=0cda1ce14618a372,"4,999","2,599",48% off,Type: Bean Bag Chair| Material: Artificial Leather| Filling: Beans| Width x Height: 212.5 cm x 125 cm (6 ft 11 in x 4 ft 1 in),3.7
6,Swiner 4XL 4XL Bean Bag with Footrest & Cushion Ready to Use with Beans (Tan - 4XL) Bean Bag Chair  With Bean Filling  (Tan),https://www.flipkart.com/swiner-4xl-bean-bag-footrest-cushion-ready-use-beans-tan-4xl-chair-filling/p/itm721447b4f9e05?pid=BEBGNGTNZH3FGRXY&lid=LSTBEBGNGTNZH3FGRXYU1YXQF&marketplace=FLIPKART&q=bean+bag&store=wwe%2F4n6%2Fzet&spotlightTagId=FkPickId_wwe%2F4n6%2Fzet&srno=s_1_7&otracker=search&fm=organic&iid=5267f2f2-c488-48c4-91b4-739a56a21a5a.BEBGNGTNZH3FGRXY.SEARCH&ppt=None&ppn=None&ssid=3rpetjspxs0000001689605282039&qH=0cda1ce14618a372,"4,999","2,599",48% off,Type: Bean Bag Chair| Material: Artificial Leather| Filling: Beans| Width x Height: 212.5 cm x 125 cm (6 ft 11 in x 4 ft 1 in),3.7
7,Swiner 4XL 4XL Bean Bag with Footrest & Cushion Ready to Use with Beans (Green - 4XL) Bean Bag Chair  With Bean Filling  (Green),https://www.flipkart.com/swiner-4xl-bean-bag-footrest-cushion-ready-use-beans-green-4xl-chair-filling/p/itm1978f6cb7898d?pid=BEBGNGTNEE96ZRHF&lid=LSTBEBGNGTNEE96ZRHFFFXH9K&marketplace=FLIPKART&q=bean+bag&store=wwe%2F4n6%2Fzet&srno=s_1_8&otracker=search&fm=organic&iid=en_RBsQMztijOQsiSH89ZG11kEHtO8qbBtF0Wwn7vgyf9tCQxqGs8KHEXfKq1Nx_XvCbTr9Ne1EfMD1WDdKd0u4Kw%3D%3D&ppt=None&ppn=None&ssid=3rpetjspxs0000001689605282039&qH=0cda1ce14618a372,"4,999","2,599",48% off,Type: Bean Bag Chair| Material: Artificial Leather| Filling: Beans| Width x Height: 212.5 cm x 125 cm (6 ft 11 in x 4 ft 1 in),3.7
8,Swiner XXXL 3XL Bean Bag with Footrest & Cushion Ready to Use with Beans (Grey-3XL) Bean Bag Footstool  With Bean Filling  (Grey),https://www.flipkart.com/swiner-xxxl-3xl-bean-bag-footrest-cushion-ready-use-beans-grey-3xl-footstool-filling/p/itm86455527cdc4e?pid=BEBGZEXMTJKFNKTY&lid=LSTBEBGZEXMTJKFNKTYQ24RKC&marketplace=FLIPKART&q=bean+bag&store=wwe%2F4n6%2Fzet&srno=s_1_9&otracker=search&fm=organic&iid=5267f2f2-c488-48c4-91b4-739a56a21a5a.BEBGZEXMTJKFNKTY.SEARCH&ppt=None&ppn=None&ssid=3rpetjspxs0000001689605282039&qH=0cda1ce14618a372,"4,999","2,499",50% off,Type: Bean Bag Footstool| Material: Artificial Leather| Fastening Mechanism: Zipper with Velcro| Filling: Beans| Width x Height: 90 cm x 110 cm (2 ft 11 in x 3 ft 7 in),3.2
9,SPACEX XXXL Premium Teardrop Bean Bag  With Bean Filling  (Black),https://www.flipkart.com/spacex-xxxl-premium-teardrop-bean-bag-filling/p/itmfd3ne9hgsebmy?pid=BEBFD3EAZRTHQ9ZX&lid=LSTBEBFD3EAZRTHQ9ZX30YIET&marketplace=FLIPKART&q=bean+bag&store=wwe%2F4n6%2Fzet&srno=s_1_10&otracker=search&fm=organic&iid=5267f2f2-c488-48c4-91b4-739a56a21a5a.BEBFD3EAZRTHQ9ZX.SEARCH&ppt=None&ppn=None&ssid=3rpetjspxs0000001689605282039&qH=0cda1ce14618a372,"2,999","2,069",31% off,Type: Teardrop Bean Bag| Material: Artificial Leather| Fastening Mechanism: Zipper with Velcro| Filling: Polyestrene Beads| Width x Height: 66.04 cm x 106.68 cm (2 ft 2 in x 3 ft 6 in),4.2
