,PRODUCT_NAME,PRODUCT_LINK,MRP,PRICE,DISCOUNT,DESCRIPTION,PRODUCT_RATING
0,"Boult Audio Y1 with Zen ENC Mic, 40Hrs Playtime, Fast Charging, Pro+ Calling, IPX5, BTv 5.3 Bluetooth Headset  (Black, True Wireless)",https://www.flipkart.com/boult-audio-y1-zen-enc-mic-40hrs-playtime-fast-charging-pro-calling-ipx5-btv-5-3-bluetooth-headset/p/itme4d24273ffaeb?pid=ACCG9J7FQC4UP3WM&lid=LSTACCG9J7FQC4UP3WMGRGLX1&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_1&otracker=search&fm=organic&iid=en_CkkxwhCYkzXgp2BFuYWbY-FYUcL7N8q4B6DE7wXqVkQG73emwEROFTFEPzRemGPaYQjytfw7Wx4O-FSI_-KbWQ%3D%3D&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"5,499",999,81% off,With Mic:Yes| Bluetooth version: 5.3| With Mic:Yes| Bluetooth version: 5.3| Wireless range: 10 m| Battery life: 40 hrs| Zen Tech ENC mic | 40 Hrs Playtime| Lightning Boult Type-C Fastest Charging | 10 Mins Charge = 100 Mins Playtime| BoomX Tech for Supreme Bass | 10mm Drivers | Fast Pairing| IPX5 Water Resistant | Voice Assistant | Touch Control,4.1
1,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs Playtime, Ultra-Fast Charging Bluetooth Headset  (Black, In the Ear)",https://www.flipkart.com/boult-audio-probass-eqcharge-zen-mode-enc-32hrs-playtime-ultra-fast-charging-bluetooth-headset/p/itmf4d48b80a5f0b?pid=ACCGEDKJUCXSXVGK&lid=LSTACCGEDKJUCXSXVGK25LQEI&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_2&otracker=search&fm=organic&iid=en_CkkxwhCYkzXgp2BFuYWbY-FYUcL7N8q4B6DE7wXqVkTSsV0cCEnJRwyE9vwCOwO2VSykEiSHb_X9qeUP_eUtnA%3D%3D&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"4,499",799,82% off,With Mic:Yes| Battery life: 32 hrs| ZEN Technology ENC mode | 32Hrs Playtime| Lightning Boult Charge Technology | 5mins Charge = 7hrs Playtime| BoomX Technology for Rich Bass| Latest Bluetooth 5.2 for seamless connectivity| Fast Pairing | IPX5 Water-Resistant| Touch Controls with Voice Assistant,4
2,"Boult Audio X1-Wired with Dual Dynamic Drivers, BoomX Rich Bass, In-line Control, IPX5 Wired Headset  (Black, In the Ear)",https://www.flipkart.com/boult-audio-x1-wired-dual-dynamic-drivers-boomx-rich-bass-in-line-control-ipx5-wired-headset/p/itmb985f93455bba?pid=ACCFHWT5ZVBTYDDY&lid=LSTACCFHWT5ZVBTYDDYBZ6ZJ7&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_3&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCFHWT5ZVBTYDDY.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,999,347,65% off,With Mic:Yes| Connector type: 3.5 mm| Dual Dynamic Drivers.| Passive Noise cancellation.In line controls| Experience Punchy Bass| IPX5 Water Resistant,4.1
3,"Boult Audio Loop2 with 10mm Drivers, BoomX Rich Bass, In-line Controls, Soft Silicon Snugfit Wired Headset  (Teal Blue, In the Ear)",https://www.flipkart.com/boult-audio-loop2-10mm-drivers-boomx-rich-bass-in-line-controls-soft-silicon-snugfit-wired-headset/p/itm907aa9caae3e0?pid=ACCGHBHQYGXU7QKY&lid=LSTACCGHBHQYGXU7QKYDQGCKW&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_4&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCGHBHQYGXU7QKY.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,999,347,65% off,With Mic:Yes| Connector type: 3.5 mm| With Mic: Yes| Connector type: 3.5 mm| Adjustable Soft Silicon Ear-Fins for Comfort Fit| 10mm Drivers | BoomX Tech for Superior Effects| Inbuilt Micro-woofers for Rich Bass| Inline Controls | L-Shaped Connector| Voice Assistant | IPX5 Water Resistant,4
4,"Boult Audio X1-Wired with Dual Dynamic Drivers, BoomX Rich Bass, In-line Control, IPX5 Wired Headset  (Blue Black, In the Ear)",https://www.flipkart.com/boult-audio-x1-wired-dual-dynamic-drivers-boomx-rich-bass-in-line-control-ipx5-wired-headset/p/itmfcaab7349a652?pid=ACCFTNYZHTVTHZGF&lid=LSTACCFTNYZHTVTHZGFSACGYE&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_5&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCFTNYZHTVTHZGF.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,999,348,65% off,With Mic:Yes| Connector type: 3.5| Dual Dynamic Drivers.| Passive Noise cancellation.| In line controls| Experience Punchy Bass| IPX5 Water Resistant,4.1
5,"PROWARP PRODART Original EHS61 Deep Bass with Sound Cancellation Wired Headset  (White, In the Ear)",https://www.flipkart.com/prowarp-prodart-original-ehs61-deep-bass-sound-cancellation-wired-headset/p/itm37b8da18083dc?pid=ACCGH9GYFUEXGTMF&lid=LSTACCGH9GYFUEXGTMFK0NWDN&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_6&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCGH9GYFUEXGTMF.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,699,254,63% off,With Mic:Yes| Connector type: 3.5mm,4.1
6,"Bashaam HA1611 M19_ PLUSASAP Charge BLUETOOTHWireless Earbuds (PACK OF 1) Bluetooth Headset  (Black, True Wireless)",https://www.flipkart.com/bashaam-ha1611-m19-plusasap-charge-bluetoothwireless-earbuds-pack-1-bluetooth-headset/p/itm50bcb9f3e6371?pid=ACCGNYBGVUTTFSER&lid=LSTACCGNYBGVUTTFSEREGNZY0&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_7&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCGNYBGVUTTFSER.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"1,499",699,53% off,With Mic:Yes| Connector type: 3.5 mm,4.1
7,"Boult Audio Ammo 40H Playtime, ZEN ENC Mic, 40ms Low Latency Gaming Mode, Interactive LED Bluetooth Headset  (Black, True Wireless)",https://www.flipkart.com/boult-audio-ammo-40h-playtime-zen-enc-mic-40ms-low-latency-gaming-mode-interactive-led-bluetooth-headset/p/itm1d80d77022d5e?pid=ACCGNBSZNBFKKBCG&lid=LSTACCGNBSZNBFKKBCGTIQ1E9&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_8&otracker=search&fm=organic&iid=en_CkkxwhCYkzXgp2BFuYWbY-FYUcL7N8q4B6DE7wXqVkSI7JKiPyADPkjVIlUYQ2E2_EdmrXIe-1Ef6DC77R_6HA%3D%3D&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"4,999",999,80% off,With Mic:Yes| Bluetooth version: 5.3| Wireless range: 10 m| Zen Technology Mic Environmental Noise Cancellation Mic shuts out distractions.| Combat Mode for gaming: Switch on the Combat mode and enjoy seamless gameplay with 40ms low latency.| 40 Hrs Playtime | 13mm Drivers| Lightning Boult Fast Charging: 10 mins charge delivers 150 mins of playtime.| Interative LED lights that enhances your gaming and entertainment.,4
8,"Boult Audio Loop2 with 10mm Drivers, BoomX Rich Bass, In-line Controls, Soft Silicon Snugfit Wired Headset  (Black, In the Ear)",https://www.flipkart.com/boult-audio-loop2-10mm-drivers-boomx-rich-bass-in-line-controls-soft-silicon-snugfit-wired-headset/p/itm88cde32212a9b?pid=ACCGHBHQ6UC3XT7U&lid=LSTACCGHBHQ6UC3XT7UXHNS94&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_9&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCGHBHQ6UC3XT7U.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,999,347,65% off,With Mic:Yes| Connector type: 3.5 mm| With Mic: Yes| Connector type: 3.5 mm| Adjustable Soft Silicon Ear-Fins for Comfort Fit| 10mm Drivers | BoomX Tech for Superior Effects| Inbuilt Micro-woofers for Rich Bass| Inline Controls | L-Shaped Connector| Voice Assistant | IPX5 Water Resistant,4
9,"boAt Bassheads 103 Wired Headset  (Pink, In the Ear)",https://www.flipkart.com/boat-bassheads-103-wired-headset/p/itm667836c40ec15?pid=ACCFX5HEUXQRXAJD&lid=LSTACCFX5HEUXQRXAJDOWMFYH&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_10&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCFX5HEUXQRXAJD.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"1,290",499,61% off,With Mic:Yes| Connector type: 3.5| Immersive Audio| Lightweight Adaptive Design| Magnetic Earbuds| Integrated Multifunction Control| Built In Microphone,4.2
10,"Boult Audio Y1 with Zen ENC Mic, 40Hrs Playtime, Fast Charging, Pro+ Calling, IPX5, BTv 5.3 Bluetooth Headset  (White, True Wireless)",https://www.flipkart.com/boult-audio-y1-zen-enc-mic-40hrs-playtime-fast-charging-pro-calling-ipx5-btv-5-3-bluetooth-headset/p/itmf6683704c3a4d?pid=ACCG9J7F2NMUB5H6&lid=LSTACCG9J7F2NMUB5H6UPLDYV&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_11&otracker=search&fm=organic&iid=en_CkkxwhCYkzXgp2BFuYWbY-FYUcL7N8q4B6DE7wXqVkRsMidyI9nRDkUnx8sdh7ymNmuheQbgpPn-xU4Ipmpdhg%3D%3D&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"5,499",999,81% off,With Mic:Yes| Bluetooth version: 5.3| With Mic:Yes| Bluetooth version: 5.3| Wireless range: 10 m| Battery life: 40 hrs| Zen Tech ENC mic | 40 Hrs Playtime| Lightning Boult Type-C Fastest Charging | 10 Mins Charge = 100 Mins Playtime| BoomX Tech for Supreme Bass | 10mm Drivers | Fast Pairing| IPX5 Water Resistant | Voice Assistant | Touch Control,4.1
11,"Boult Audio X50 with 40Hr Battery, Quad Mic ENC, 45ms Ultra Low Latency, Made In India, 5.1 Bluetooth Headset  (White, True Wireless)",https://www.flipkart.com/boult-audio-x50-40hr-battery-quad-mic-enc-45ms-ultra-low-latency-made-india-5-1-bluetooth-headset/p/itmb580155b27054?pid=ACCGJHCDF45AFUYY&lid=LSTACCGJHCDF45AFUYYBCJ3KT&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_12&otracker=search&fm=organic&iid=en_CkkxwhCYkzXgp2BFuYWbY-FYUcL7N8q4B6DE7wXqVkQR9jo5YXT-RC7KsT3MeL2QJIRhnx-1kiMLwo9h8jh2vA%3D%3D&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"4,999",999,80% off,With Mic:Yes| Battery life: 40 Hrs| Bluetooth Version 5.1 | Blink & Pair| ZEN Mode - Quad Mic Environmental Noise Cancellation| 40H Playtime with Gaming mode on | 45ms Ultra-Low Latency Gaming Mode| Type-C Fastest Charging | 10 Mins Charge = 100 Mins Playtime| Equalizer: Rock Mode | HiFi Mode | Base Boost Mode| BoomX Tech for Rich Bass | IPX5 Water Resistant | Voice Assistant,4
12,"boAt Bassheads 104 Wired Headset  (Blue, In the Ear)",https://www.flipkart.com/boat-bassheads-104-wired-headset/p/itm5c227a7bf4884?pid=ACCGF76YH6ZHUGB2&lid=LSTACCGF76YH6ZHUGB2T4YTLG&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_13&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCGF76YH6ZHUGB2.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,999,449,55% off,With Mic:Yes| Connector type: 3.5| 11mm Drivers| One Button Control with Mic| Instant Voice Assistant| Half In Ear Ergonomic Design| Perfect Length Cable,4.1
13,"jorugo HA2146 M10_ MAX BLUETOOTHPlayback with Power BankWireless Earbuds (PACK OF 1) Bluetooth Headset  (Black, True Wireless)",https://www.flipkart.com/jorugo-ha2146-m10-max-bluetoothplayback-power-bankwireless-earbuds-pack-1-bluetooth-headset/p/itm4e4b3e5d8a452?pid=ACCGZBZTMVSVGGFG&lid=LSTACCGZBZTMVSVGGFG0BBUKO&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_14&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCGZBZTMVSVGGFG.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"1,499",699,53% off,With Mic:Yes| Connector type: 3.5mm| Flatwire: Stays tangle free even in your pocket,4.2
14,"boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bluetooth Headset  (Active Black, True Wireless)",https://www.flipkart.com/boat-airdopes-131-upto-60-hours-asap-charge-bluetooth-headset/p/itm2905dfd0be40c?pid=ACCFSDGXX3S6DVBG&lid=LSTACCFSDGXX3S6DVBGDAFDIO&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&spotlightTagId=BestsellerId_0pm%2Ffcn%2F821&srno=s_1_15&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCFSDGXX3S6DVBG.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"2,990",799,73% off,With Mic:Yes| Bluetooth version: 5.0 / 5.1| Wireless range: 10 m| Charging time: 2 Hours| Playback Time: Upto 15 to 60 Hours Playback| ASAP Charge: 5 Mins Charge= 90 Mins Playback| 13MM Drivers| 7.IPX4: Sweat Resistance,4
15,"boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers, Dual Mics ENx & Beast Mode Bluetooth Headset  (Jet Black, In the Ear)",https://www.flipkart.com/boat-airdopes-alpha-35-hrs-playback-13mm-drivers-dual-mics-enx-beast-mode-bluetooth-headset/p/itm1181f915b81ec?pid=ACCGP2HJA3HKHTF4&lid=LSTACCGP2HJA3HKHTF4VDDILL&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&spotlightTagId=TrendingId_0pm%2Ffcn%2F821&srno=s_1_16&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCGP2HJA3HKHTF4.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"3,490",899,74% off,With Mic:Yes| 35 Hours of Playback| boAt Signature Sound 13mm Drivers| Dual Mic ENx� Technology| BEAST� Mode with 50ms low latency| ASAP� Charge( 10 Mins = 120 Mins )| IWP� Technology| Type C Interface| IPX5 Water and Sweat Resistance,4.1
16,"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, Fast Charging, Fast Pairing Bluetooth Headset  (Black, In the Ear)",https://www.flipkart.com/boult-audio-probass-fcharge-40-hrs-playtime-enc-fast-charging-pairing-bluetooth-headset/p/itm990890a2723e2?pid=ACCGC2JJSZZNZYCX&lid=LSTACCGC2JJSZZNZYCXEQIMVU&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_17&otracker=search&fm=organic&iid=en_CkkxwhCYkzXgp2BFuYWbY-FYUcL7N8q4B6DE7wXqVkQL00FHZMyGqSFidiWQpk0l4oozeI5aFraGDxziTyeQjQ%3D%3D&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"4,999",897,82% off,With Mic:Yes| Battery life: 40 hrs| Environmental Noise Cancellation | Pro+ Calling Mic Technology| Unstoppable 40 hrs Battery Life| Type-C Fastest Charging | 10 mins Charge = 15 hrs Playtime| Fastest Pairing with the latest Bluetooth 5.2 technology| Soft Silicone Band | In-line controls | IPX5 Water Resistant,4
17,"TXOR SENSO V 1.0 TWS EARBUDS, Bass+ 20 H Playtime & Fast Charging v5.1 Bluetooth Headset  (Metallic White, True Wireless)",https://www.flipkart.com/txor-senso-v-1-0-tws-earbuds-bass-20-h-playtime-fast-charging-v5-1-bluetooth-headset/p/itm01dd65a43bfbb?pid=ACCGK9F3VHKNKK4Y&lid=LSTACCGK9F3VHKNKK4YTMK913&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_18&otracker=search&fm=organic&iid=en_CkkxwhCYkzXgp2BFuYWbY-FYUcL7N8q4B6DE7wXqVkQUfXBArq5sykaA9PpwZUF4Eed7YnquxeERx_Md5SI5CA%3D%3D&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"1,299",573,55% off,With Mic:Yes| Connector type: 3.5| Bluetooth version: 5.1| Wireless range: 10 m| Charging time: 2 Hours Case| 1 Hour Buds,3.5
18,"Jocoto C2296 M10 ADVANCED GAMING HEADSET BLACK (PACK OF 1) Bluetooth Gaming Headset  (Black, True Wireless)",https://www.flipkart.com/jocoto-c2296-m10-advanced-gaming-headset-black-pack-1-bluetooth/p/itm114498e581bd1?pid=ACCGQSHQUSNXCFFK&lid=LSTACCGQSHQUSNXCFFKZTMCJ5&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_19&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCGQSHQUSNXCFFK.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"1,499",649,56% off,With Mic:No| Connector type: 3.5 mm| Bluetooth version: 5| Wireless range: 14 m| Battery life: 24 hr | Charging time: 1 hour,4.2
19,"OPPO Enco Buds 2 with 28 hours Battery life & Deep Noise Cancellation Bluetooth Headset  (Midnight, True Wireless)",https://www.flipkart.com/oppo-enco-buds-2-28-hours-battery-life-deep-noise-cancellation-bluetooth-headset/p/itm3344fa26518ed?pid=ACCGH7YZY6AHGCHJ&lid=LSTACCGH7YZY6AHGCHJHLWF41&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_20&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCGH7YZY6AHGCHJ.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"3,999","1,499",62% off,With Mic:Yes| Bluetooth version: 5.2| Battery life: 28 hrs | Charging time: 1.5 hrs| 10mm Dynamic Bass Boost Driver - Powerful & Rhythmic Bass| Enco Live Stereo Sound Effects | Dolby Atmos| AI Deep Noise Cancellation | 80ms Ultra Low Latency game mode| Intelligent Touch Controls | IPX4 Water Resistant,4.2
20,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms Ultra-Low Latency Mode, 5.3 Bluetooth Headset  (Pista Green, True Wireless)",https://www.flipkart.com/boult-audio-airbass-z35-zen-enc-mic-32h-playtime-45ms-ultra-low-latency-mode-5-3-bluetooth-headset/p/itm429390b57d9e9?pid=ACCGJT2ZVWGQTC8D&lid=LSTACCGJT2ZVWGQTC8DT59PBJ&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_21&otracker=search&fm=organic&iid=en_CkkxwhCYkzXgp2BFuYWbY-FYUcL7N8q4B6DE7wXqVkSVFW6nni5IW4zhfeJ65NOJkSw30_tlAhR6jB2ocZG63w%3D%3D&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"2,999",899,70% off,With Mic:Yes| Bluetooth version: 5.3| Wireless range: 10 m| Battery life: 32 hrs| Zen Tech ENC mic | 45ms Ultra-Low Latency Gaming | 32Hrs Playtime| Lightning Boult Type-C Fastest Charging | 10 Mins Charge = 150 Mins Playtime | 13mm Drivers | Sub-woofer| BoomX Tech for Supreme Bass | IPX5 Water Resistant | Voice Assistant | Touch Control,4.8
21,"LONGWINGS EARBUDS SMALL SIZE, SUPER LIGHTWEIGHT earphone Bluetooth Headset Bluetooth Headset  (White, In the Ear)",https://www.flipkart.com/longwings-earbuds-small-size-super-lightweight-earphone-bluetooth-headset/p/itm33273afc8001b?pid=ACCGNX5KVRF2H3AZ&lid=LSTACCGNX5KVRF2H3AZHN5AUK&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_22&otracker=search&fm=organic&iid=en_CkkxwhCYkzXgp2BFuYWbY-FYUcL7N8q4B6DE7wXqVkThv1b3hQUgPw3lSModl7rIUT9V6uEvJBWw2t9mMnXUlQ%3D%3D&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"2,999",599,80% off,With Mic:Yes| Flatwire: Stays tangle free even in your pocket,3.4
22,"boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bluetooth Headset  (Midnight Blue, True Wireless)",https://www.flipkart.com/boat-airdopes-131-upto-60-hours-asap-charge-bluetooth-headset/p/itmf77ad6e8eecf1?pid=ACCFSDGX68PUKJYE&lid=LSTACCFSDGX68PUKJYEZ2TOCP&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_23&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCFSDGX68PUKJYE.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"2,990",799,73% off,With Mic:Yes| Bluetooth version: 5.0 - 5.1| Wireless range: 10 m| Charging time: 2 Hours| Playback Time: Upto 15 to 60 Hours Playback| ASAP Charge: 5 Mins Charge= 90 Mins Playback| 13MM Drivers| 7.IPX4: Sweat Resistance,4
23,"boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bluetooth Headset  (Cherry Blossom, True Wireless)",https://www.flipkart.com/boat-airdopes-131-upto-60-hours-asap-charge-bluetooth-headset/p/itmc0157ae57bf52?pid=ACCFSDGXT4HZXY4J&lid=LSTACCFSDGXT4HZXY4JX415W8&marketplace=FLIPKART&q=ear+phones&store=0pm%2Ffcn%2F821&srno=s_1_24&otracker=search&fm=organic&iid=4ed4091b-da43-45ac-ad47-9f05e10f6d0b.ACCFSDGXT4HZXY4J.SEARCH&ppt=None&ppn=None&ssid=4e48rsqsls0000001689605400841&qH=cc10a3085fee635c,"2,990",799,73% off,With Mic:Yes| Bluetooth version: 5.0 - 5.1| Wireless range: 10 m| Charging time: 2 Hours| Playback Time: Upto 15 to 60 Hours Playback| ASAP Charge: 5 Mins Charge= 90 Mins Playback| 13MM Drivers| 7.IPX4: Sweat Resistance,4
