,PRODUCT_NAME,PRODUCT_LINK,MRP,PRICE,DISCOUNT,DESCRIPTION,PRODUCT_RATING
0,"Trevi Divine Engineered Wood Dressing Table  (Finish Color - , Milky Teak, Knock Down)",https://www.flipkart.com/trevi-divine-engineered-wood-dressing-table/p/itm2665c39d69f25?pid=DTBGJ8BCWP6NDMXS&lid=LSTDTBGJ8BCWP6NDMXSWOQMK9&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_1&otracker=search&fm=organic&iid=en_DJvQ4C_q6zNTpv7CZoKbot6fCzZQHFYhykl7SVBLqRnc8JqB7vWl5UZFCvdRPPWyqMKwQO_cJkYr9Os1oZuuxw%3D%3D&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"26,499","9,826",62% off,Storage Included| W x H x D: 50 cm x 180 cm x 19 cm (1 ft 7 in x 5 ft 10 in x 7 in)| Mirror W x H: 30 cm x 150 cm| Finish Type: Milky Teak | Finish Color: Milky Teak| Knock Down - Delivered in non-assembled pieces| installation by service partner,4.3
1,"ANIKAA Metal Nesting Table  (Finish Color - White, Set of - 2, DIY(Do-It-Yourself))",https://www.flipkart.com/anikaa-metal-nesting-table/p/itm95e44f2713c8d?pid=NTTGRDZSPYTK3YPD&lid=LSTNTTGRDZSPYTK3YPDZK0EGL&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_2&otracker=search&fm=organic&iid=en_DJvQ4C_q6zNTpv7CZoKbot6fCzZQHFYhykl7SVBLqRmiD50ysyfdqxQSxORrFVswQ2wJg1HPH9BoaHWrSzbApg%3D%3D&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"25,999","16,499",36% off,Shape: Round| Delivery Condition: DIY(Do-It-Yourself)| Finish: Matte| DIY - Basic assembly to be done with simple tools by the customer| comes with instructions.,4.2
2,"lmz Engineered Wood Office Table  (Free Standing, Finish Color - brown, Pre-assembled)",https://www.flipkart.com/lmz-engineered-wood-office-table/p/itmb785d21c87bf2?pid=OSTG44YNW5QDASWG&lid=LSTOSTG44YNW5QDASWG3VWI9K&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_3&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.OSTG44YNW5QDASWG.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"2,599","1,405",45% off,Material: MDF| Configuration: Straight| Height x Width: 76 cm x 91 cm (2 ft 5 in x 2 ft 11 in)| Pre Assembled (Ready to Use),4.3
3,"limraz furniture Engineered Wood Computer Desk  (Straight, Finish Color - brown, Pre-assembled)",https://www.flipkart.com/limraz-furniture-engineered-wood-computer-desk/p/itm9bc4aa1538e18?pid=CPTFZZKBZWYTUZYA&lid=LSTCPTFZZKBZWYTUZYAHRENIT&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_4&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.CPTFZZKBZWYTUZYA.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"2,799","1,298",53% off,Computer Desk| Straight Set-up for Study & Home Office| W x H x D: 91.44 cm x 76.2 cm x 60.96 cm (3 ft x 2 ft 6 in x 2 ft)| With CPU Compartment| Pre Assembled (Ready to Use),4.2
4,"DEIDAD A one study table for black flower portable_laptop_table Solid Wood Study Table  (Free Standing, Finish Color - Black, Pre-assembled)",https://www.flipkart.com/deidad-one-study-table-black-flower-portable-laptop-table-solid-wood/p/itmd8a422e73a9ce?pid=OSTG9GCXXCZVV97W&lid=LSTOSTG9GCXXCZVV97WLQCZ29&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_5&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.OSTG9GCXXCZVV97W.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"1,499",745,50% off,Material: Plywood| Configuration: Straight| Height x Width: 27 cm x 30 cm (10 in x 11 in)| Pre Assembled (Ready to Use),4
5,"lmz Engineered Wood Office Table  (Free Standing, Finish Color - brown, Pre-assembled)",https://www.flipkart.com/lmz-engineered-wood-office-table/p/itmcfea4b088cc9c?pid=OSTG38ZMVT4KBAZU&lid=LSTOSTG38ZMVT4KBAZUCNLHWN&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_6&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.OSTG38ZMVT4KBAZU.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"2,799","1,405",49% off,Material: MDF| Configuration: Straight| Height x Width: 76.2 cm x 91.44 cm (2 ft 6 in x 3 ft)| Pre Assembled (Ready to Use),4.3
6,"STAR Engineered Wood Study Table  (Free Standing, Finish Color - Pink, Pre-assembled)",https://www.flipkart.com/star-engineered-wood-study-table/p/itm90ccacf4f1e6f?pid=OSTG9VKRXZYZKYB7&lid=LSTOSTG9VKRXZYZKYB7JKNRWO&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_7&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.OSTG9VKRXZYZKYB7.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"1,899",899,52% off,Material: MDF| Configuration: Curved| Height x Width: 24 cm x 60 cm (9 in x 1 ft 11 in)| Pre Assembled (Ready to Use),3.9
7,"ANIKAA Mavis Dressing Wall Mirror with Shelves/Wall Hanging Dressing Mirrors with Shelf for Living Room Bedroom/Wall Mounted Dressing Mirror for Wall Decor (Wenge) Engineered Wood Dressing Table  (Finish Color - , Wenge, DIY(Do-It-Yourself))",https://www.flipkart.com/anikaa-mavis-dressing-wall-mirror-shelves-wall-hanging-mirrors-shelf-living-room-bedroom-wall-mounted-decor-wenge-engineered-wood-table/p/itmd2c19b0bf754f?pid=DTBG9WNZFXVFDZB3&lid=LSTDTBG9WNZFXVFDZB3IKXMTR&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_8&otracker=search&fm=organic&iid=en_DJvQ4C_q6zNTpv7CZoKbot6fCzZQHFYhykl7SVBLqRl3U8j5NzGLLDPRjKaG9xZDybh9AOPEYEQgv1dr_4JOeQ%3D%3D&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"7,999","2,720",65% off,Storage Included| W x H x D: 60 cm x 80 cm x 12 cm (1 ft 11 in x 2 ft 7 in x 4 in)| Mirror W x H: 36 cm x 61 cm| Finish Type: Matte | Finish Color: Wenge| DIY - Basic assembly to be done with simple tools by the customer| comes with instructions.,3.9
8,"sarun sales Multi-Purpose Laptop Desk for Study and Reading (black) Wood Portable Laptop Table  (Finish Color - BLACK, Pre Assembled)",https://www.flipkart.com/sarun-sales-multi-purpose-laptop-desk-study-reading-black-wood-portable-table/p/itm4aacaddac850c?pid=PLLGGH6FZHVHKCH6&lid=LSTPLLGGH6FZHVHKCH6D3CNYR&marketplace=FLIPKART&q=tables&store=wwe&srno=s_1_9&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.PLLGGH6FZHVHKCH6.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"1,299",468,63% off,Primary Material: Wood| W x H x D: 35.1 cm x 4.5 cm x 59 cm (1 ft 1 in x 1 in x 1 ft 11 in)| Foldable| With Mouse Tray,4.1
9,"HF HARSH FASHION Multipurpose Foldable Table with Cup Holder, Study , Bed ,Table, Portable Wood Portable Laptop Table  (Finish Color - BLACK, Pre Assembled)",https://www.flipkart.com/hf-harsh-fashion-multipurpose-foldable-table-cup-holder-study-bed-table-portable-wood-laptop/p/itmb72c5ffbc89cf?pid=PLLG3W5Z2WH3KBQW&lid=LSTPLLG3W5Z2WH3KBQWI6TKL6&marketplace=FLIPKART&q=tables&store=wwe&spotlightTagId=BestsellerId_wwe&srno=s_1_10&otracker=search&fm=organic&iid=65f2a563-ccd9-4548-9e4f-0a8a21ff9ebf.PLLG3W5Z2WH3KBQW.SEARCH&ppt=None&ppn=None&ssid=cbciu4iae80000001689605543589&qH=9ab2ec7ea4a20413,"1,272",460,63% off,Primary Material: Wood| W x H x D: 60 cm x 26.6 cm x 40 cm (1 ft 11 in x 10 in x 1 ft 3 in)| Foldable,4
